method,corruption,clean_accuracy,shifted_accuracy,absolute_degradation,relative_degradation,loss
Baseline,clean,0.8797,0.8797,0.0,0.0,0.37216307959556577
Baseline,brightness,0.8797,0.8482,0.031500000000000083,0.035807661702853336,0.45770190887451173
Baseline,blur,0.8797,0.3537,0.526,0.5979311128793907,2.7861948429107666
Baseline,posterize,0.8797,0.8592,0.020500000000000074,0.023303398885983942,0.4334630615711212
MixUp,clean,0.8758,0.8758,0.0,0.0,0.4739384012699127
MixUp,brightness,0.8758,0.855,0.02080000000000004,0.023749714546700204,0.531216644191742
MixUp,blur,0.8758,0.4189,0.45690000000000003,0.5216944507878511,1.8156517190933228
MixUp,posterize,0.8758,0.8535,0.022299999999999986,0.02546243434574102,0.5364208384990692
CutMix,clean,0.8644,0.8644,0.0,0.0,0.46588338527679446
CutMix,brightness,0.8644,0.8373,0.027099999999999902,0.031351226284127606,0.5539750163078309
CutMix,blur,0.8644,0.295,0.5693999999999999,0.6587228135122628,2.1961720794677735
CutMix,posterize,0.8644,0.8354,0.028999999999999915,0.03354928273947237,0.5513200312614441
CutOut,clean,0.8763,0.8763,0.0,0.0,0.38145234565734865
CutOut,brightness,0.8763,0.8408,0.035499999999999976,0.04051124044277071,0.4730051456451416
CutOut,blur,0.8763,0.3051,0.5711999999999999,0.6518315645326942,3.263401127243042
CutOut,posterize,0.8763,0.8535,0.02279999999999993,0.026018486819582257,0.45824305891990663
Random Erasing,clean,0.8811,0.8811,0.0,0.0,0.36719813653230665
Random Erasing,brightness,0.8811,0.8552,0.025900000000000034,0.029395074338894604,0.4310345796108246
Random Erasing,blur,0.8811,0.3443,0.5367999999999999,0.6092384519350811,2.8479102031707764
Random Erasing,posterize,0.8811,0.8556,0.025499999999999967,0.028941096356826658,0.43619922882318496
