method,corruption,clean_dice,shifted_dice,dice_degradation,clean_iou,shifted_iou,iou_degradation
Baseline,brightness,0.8254877892915544,0.7998360043554548,0.025651784936099653,0.7203015948907983,0.684611990328997,0.03568960456180126
Baseline,blur,0.8254877892915544,0.8136249733543032,0.011862815937251248,0.7203015948907983,0.7056114968957222,0.014690097995076035
Baseline,posterize,0.8254877892915544,0.8189922831922112,0.00649550609934324,0.7203015948907983,0.7106486157488517,0.009652979141946516
CutMix,brightness,0.8208112179761883,0.7768991106243347,0.04391210735185358,0.7141129860731131,0.6567794800649452,0.05733350600816789
CutMix,blur,0.8208112179761883,0.8133421905783484,0.007469027397839834,0.7141129860731131,0.704368469045155,0.009744517027958088
CutMix,posterize,0.8208112179761883,0.8040739133625078,0.016737304613680504,0.7141129860731131,0.6918425700683365,0.02227041600477664
CutOut,brightness,0.8206134239345196,0.7943119935490319,0.026301430385487712,0.7153756300413371,0.6787166168365468,0.03665901320479026
CutOut,blur,0.8206134239345196,0.8102211435440939,0.010392280390425723,0.7153756300413371,0.7022592383757961,0.013116391665541016
CutOut,posterize,0.8206134239345196,0.8140087932161428,0.006604630718376803,0.7153756300413371,0.7056260546113464,0.009749575429990665
ClassMix,brightness,0.8001271055614828,0.7773197309039666,0.022807374657516255,0.6878165945788436,0.6571742482716916,0.030642346307152013
ClassMix,blur,0.8001271055614828,0.7924235532348115,0.0077035523266713035,0.6878165945788436,0.6799893559373734,0.007827238641470169
ClassMix,posterize,0.8001271055614828,0.7967777325464355,0.003349373015047341,0.6878165945788436,0.6821607630237893,0.005655831555054336
